lexical-category	english	norwegian	pronunciation	example_sentence	audio_file
noun	hotel	et hotell	/hʊˈtɛl/	Hotellet ligger nær stasjonen.	audio/forvo_no/no_hotell_206548_001.mp3
noun	reservation	en reservasjon	/resɛrʋɑˈʂuːn/	Jeg har en reservasjon.	audio/forvo_no/no_reservasjon_1482707_001.mp3
noun	check-in	en innsjekk	/ˈɪnːʂɛk/	Innsjekk er fra klokka tre.	null
noun	check-out	en utsjekk	/ˈʉtʂɛk/	Utsjekk er klokka tolv.	null
noun	reception	en resepsjon	/resɛpˈʂuːn/	Resepsjonen er åpen hele døgnet.	audio/forvo_no/no_resepsjon_2903617_001.mp3
noun	room key	et nøkkelkort	/ˈnøːkəlˌkɔʈ/	Nøkkelkortet fungerer ikke.	null
noun	passport	en pass	/pɑs/	Jeg må vise pass.	audio/forvo_no/no_pass_6993850_001.mp3
noun	luggage	en bagasje	/bɑˈɡɑːʂə/	Bagasjen min er tung.	audio/forvo_no/no_bagasje_294439_001.mp3
noun	single room	et enkeltrom	/ˈɛŋkəlˌtrʊm/	Jeg vil ha et enkeltrom.	audio/forvo_no/no_enkeltrom_2335123_001.mp3
noun	double room	et dobbeltrom	/ˈdɔbːəlˌtrʊm/	Vi trenger et dobbeltrom.	audio/forvo_no/no_dobbeltrom_2850662_001.mp3
noun	breakfast	en frokost	/ˈfruːkɔst/	Frokosten er inkludert.	audio/forvo_no/no_frokost_152550_001.mp3
noun	elevator	en heis	/hæɪs/	Heisen er til høyre.	audio/forvo_no/no_heis_6011227_001.mp3
noun	floor	en etasje	/ɛˈtɑːʂə/	Rommet er i femte etasje.	audio/forvo_no/no_etasje_805139_001.mp3
verb	to stay	å bo, bor, bodde, har bodd	/buː/	Vi skal bo her i tre netter.	audio/forvo_no/no_bo_1068257_001.mp3
verb	to book	å bestille, bestiller, bestillte, har bestillt	/beˈstɪlə/	Jeg vil bestille et rom.	audio/forvo_no/no_bestille_1068661_001.mp3
adjective	available	ledig	/ˈleːdi/	Har dere et ledig rom?	audio/forvo_no/no_ledig_4331367_001.mp3
expression	Is Wi-Fi included?	Er Wi-Fi inkludert?	/ær ˈʋiːfi ɪnkluˈdeːʈ/	Er Wi-Fi inkludert?	null
expression	Can I have a late check-out?	Kan jeg få sen utsjekk?	/kɑn jæɪ foː seːn ˈʉtʂɛk/	Kan jeg få sen utsjekk?	null
noun	map	et kart	/kɑʈ/	Har dere et kart over byen?	null
noun	booking	en bestilling	/beˈstɪlɪŋ/	Bestillingen er bekreftet.	audio/forvo_no/no_bestilling_2905433_001.mp3
noun	confirmation	en bekreftelse	/bəˈkrɛftəlsə/	Jeg har bekreftelse på e-post.	audio/forvo_no/no_bekreftelse_1167287_001.mp3
noun	guest	en gjest	/jɛst/	Gjestene venter.	null
noun	room	en rom	/ruːm/	Rommet er klart.	audio/forvo_no/no_rom_6056697_001.mp3
noun	room number	et romnummer	/ˈrʊmˌnʉmːər/	Romnummeret er 504.	null
noun	key card	et nøkkelkort	/ˈnøːkəlˌkɔʈ/	Nøkkelkortet virker ikke.	null
noun	luggage	en bagasje	/bɑˈɡɑːʂə/	Bagasjen er tung.	audio/forvo_no/no_bagasje_294439_001.mp3
noun	suitcase	en koffert	/kʊˈfɛʈ/	Kofferten står her.	audio/forvo_no/no_koffert_2330519_001.mp3
noun	bag	en bag	/bɑːɡ/	Jeg har en bag.	audio/forvo_no/no_bag_4768911_001.mp3
noun	backpack	en ryggsekk	/ˈrʏɡˌsɛk/	Ryggsekken er stor.	audio/forvo_no/no_ryggsekk_2355944_001.mp3
noun	breakfast buffet	en frokostbuffé	/ˈfruːkɔstˌbʉfeː/	Frokostbufféen åpner klokka sju.	null
noun	lunch	en lunsj	/lʉnʂ/	Lunsj er fra tolv.	audio/forvo_no/no_lunsj_152553_001.mp3
noun	dinner	en middag	/ˈmɪdɑɡ/	Middagen serveres klokka seks.	audio/forvo_no/no_middag_296841_001.mp3
noun	restaurant	en restaurant	/rɛstʉˈrɑŋ/	Hotellet har restaurant.	audio/forvo_no/no_restaurant_743130_001.mp3
