lexical-category	english	norwegian	pronunciation	example_sentence
noun	hotel	et hotell	/hʊˈtɛl/	Hotellet ligger nær stasjonen.
noun	reservation	en reservasjon	/resɛrʋɑˈʂuːn/	Jeg har en reservasjon.
noun	check-in	en innsjekk	/ˈɪnːʂɛk/	Innsjekk er fra klokka tre.
noun	check-out	en utsjekk	/ˈʉtʂɛk/	Utsjekk er klokka tolv.
noun	reception	en resepsjon	/resɛpˈʂuːn/	Resepsjonen er åpen hele døgnet.
noun	room key	et nøkkelkort	/ˈnøːkəlˌkɔʈ/	Nøkkelkortet fungerer ikke.
noun	passport	en pass	/pɑs/	Jeg må vise pass.
noun	luggage	en bagasje	/bɑˈɡɑːʂə/	Bagasjen min er tung.
noun	single room	et enkeltrom	/ˈɛŋkəlˌtrʊm/	Jeg vil ha et enkeltrom.
noun	double room	et dobbeltrom	/ˈdɔbːəlˌtrʊm/	Vi trenger et dobbeltrom.
noun	breakfast	en frokost	/ˈfruːkɔst/	Frokosten er inkludert.
noun	elevator	en heis	/hæɪs/	Heisen er til høyre.
noun	floor	en etasje	/ɛˈtɑːʂə/	Rommet er i femte etasje.
verb	to stay	å bo, bor, bodde, har bodd	/buː/	Vi skal bo her i tre netter.
verb	to book	å bestille, bestiller, bestillte, har bestillt	/beˈstɪlə/	Jeg vil bestille et rom.
adjective	available	ledig	/ˈleːdi/	Har dere et ledig rom?
expression	Is Wi-Fi included?	Er Wi-Fi inkludert?	/ær ˈʋiːfi ɪnkluˈdeːʈ/	Er Wi-Fi inkludert?
expression	Can I have a late check-out?	Kan jeg få sen utsjekk?	/kɑn jæɪ foː seːn ˈʉtʂɛk/	Kan jeg få sen utsjekk?
noun	map	et kart	/kɑʈ/	Har dere et kart over byen?
noun	booking	en bestilling	/beˈstɪlɪŋ/	Bestillingen er bekreftet.
noun	confirmation	en bekreftelse	/bəˈkrɛftəlsə/	Jeg har bekreftelse på e-post.
noun	guest	en gjest	/jɛst/	Gjestene venter.
noun	room	en rom	/ruːm/	Rommet er klart.
noun	room number	et romnummer	/ˈrʊmˌnʉmːər/	Romnummeret er 504.
noun	key card	et nøkkelkort	/ˈnøːkəlˌkɔʈ/	Nøkkelkortet virker ikke.
noun	luggage	en bagasje	/bɑˈɡɑːʂə/	Bagasjen er tung.
noun	suitcase	en koffert	/kʊˈfɛʈ/	Kofferten står her.
noun	bag	en bag	/bɑːɡ/	Jeg har en bag.
noun	backpack	en ryggsekk	/ˈrʏɡˌsɛk/	Ryggsekken er stor.
noun	breakfast buffet	en frokostbuffé	/ˈfruːkɔstˌbʉfeː/	Frokostbufféen åpner klokka sju.
noun	lunch	en lunsj	/lʉnʂ/	Lunsj er fra tolv.
noun	dinner	en middag	/ˈmɪdɑɡ/	Middagen serveres klokka seks.
noun	restaurant	en restaurant	/rɛstʉˈrɑŋ/	Hotellet har restaurant.
noun	bar	en bar	/bɑːr/	Baren er åpen.
noun	lobby	en lobby	/ˈlɔbi/	Vi møtes i lobbyen.
noun	lounge	en salong	/sɑˈlɔŋ/	Salongen er rolig.
noun	gym	en treningsrom	/ˈtreːnɪŋsˌrʊm/	Treningsrommet er i kjelleren.
noun	pool	et basseng	/bɑˈsɛŋ/	Bassenget er stengt.
noun	sauna	en badstue	/ˈbɑːdstʉə/	Badstua er varm.
noun	laundry	et vaskeri	/ʋɑˈskɛːri/	Vaskeriet er i første etasje.
noun	towel	et håndkle	/ˈhɔnːklə/	Jeg trenger et håndkle.
noun	bed	en seng	/sɛŋ/	Sengen er komfortabel.
noun	blanket	et teppe	/ˈtɛpːə/	Kan jeg få et ekstra teppe?
noun	pillow	en pute	/ˈpʉːtə/	Jeg trenger en ekstra pute.
noun	air conditioning	en aircondition	/ˈæːrˌkɔndɪʂuːn/	Aircondition virker ikke.
noun	heating	en varme	/ˈʋɑrmə/	Varmeen er av.
noun	noise	en støy	/stœy/	Det er mye støy.
noun	view	en utsikt	/ˈʉtˌsɪkt/	Rommet har fin utsikt.
noun	sea view	en havutsikt	/ˈhɑːʋˌʉtˌsɪkt/	Jeg vil ha havutsikt.
noun	city center	en sentrum	/ˈsɛntrʉm/	Hotellet ligger i sentrum.
noun	address	en adresse	/ɑˈdrɛsə/	Hva er adressen?
noun	tourist information	en turistinformasjon	/tʉˈrɪstˌɪnfɔrˈmɑʂuːn/	Turistinformasjonen er der.
noun	sight	en severdighet	/ˈseːʋərdɪˌheːt/	Det er mange severdigheter.
noun	ticket	en billett	/bɪˈlɛt/	Jeg kjøper en billett.
noun	guide	en guide	/ˈɡaɪdə/	Guiden starter klokka ti.
noun	tour	en omvisning	/ˈɔmˌʋiːsniŋ/	Vi blir med på omvisning.
noun	reservation number	et reservasjonsnummer	/resɛrʋɑˈʂuːnsˌnʉmːər/	Reservasjonsnummeret er her.
verb	to check in	å sjekke inn, sjekker inn, sjekket inn, har sjekket inn	/ˈʂɛkːə ɪn/	Vi sjekker inn nå.
verb	to check out	å sjekke ut, sjekker ut, sjekket ut, har sjekket ut	/ˈʂɛkːə ʉːt/	Vi sjekker ut klokka tolv.
verb	to book	å bestille, bestiller, bestillte, har bestillt	/beˈstɪlə/	Jeg vil bestille rom.
verb	to cancel	å avbestille, avbestiller, avbestillte, har avbestillt	/ˈɑːʋbəˌstɪlːə/	Jeg må avbestille.
verb	to pay	å betale, betaler, betalte, har betalt	/beˈtɑːlə/	Jeg betaler nå.
verb	to extend stay	å forlenge oppholdet, forlenger oppholdet, forlenget oppholdet, har forlenget oppholdet	/fɔrˈlɛŋə ˈɔpˌhɔlːət/	Jeg vil forlenge oppholdet.
verb	to store luggage	å oppbevare bagasje, oppbevarer bagasje, oppbevarte bagasje, har oppbevart bagasje	/ˈɔpːbəˌʋɑːrə bɑˈɡɑːʂə/	Kan dere oppbevare bagasjen?
verb	to wake up	å våkne, våkner, våknet, har våknet	/ˈʋoːknə/	Jeg våkner tidlig.
verb	to order a taxi	å bestille taxi, bestiller taxi, bestillte taxi, har bestillt taxi	/beˈstɪlə ˈtɑkːsi/	Kan du bestille taxi?
verb	to recommend	å anbefale, anbefaler, anbefalte, har anbefalt	/ˈɑnbəˌfɑːlə/	Kan du anbefale en restaurant?
adjective	available	ledig	/ˈleːdi/	Er det ledig rom?
adjective	occupied	opptatt	/ˈɔpːtɑt/	Rommet er opptatt.
adjective	clean	ren	/reːn/	Rommet er rent.
adjective	dirty	skittent	/ˈʂɪtːənt/	Badet er skittent.
adjective	quiet	stille	/ˈstɪlːə/	Rommet er stille.
adjective	noisy	bråkete	/ˈbrɔːkətə/	Det er bråkete om natten.
adjective	included	inkludert	/ɪnkluˈdeːʈ/	Frokost er inkludert.
adjective	extra	ekstra	/ˈɛkstrɑ/	Ekstra håndkle koster.
expression	I have a reservation.	Jeg har en reservasjon.	/jæɪ hɑr en resɛrʋɑˈʂuːn/	Jeg har en reservasjon.
expression	Can I have a room with a view?	Kan jeg få et rom med utsikt?	/kɑn jæɪ foː et rʊm meː ˈʉtˌsɪkt/	Kan jeg få et rom med utsikt?
expression	Is breakfast included?	Er frokost inkludert?	/æːr ˈfruːkɔst ɪnkluˈdeːʈ/	Er frokost inkludert?
expression	Can I get a wake-up call?	Kan jeg få vekking?	/kɑn jæɪ foː ˈʋɛkːɪŋ/	Kan jeg få vekking klokka sju?
expression	Where is the elevator?	Hvor er heisen?	/ʋuːr ær ˈhæɪsən/	Hvor er heisen?
