lexical-category	english	norwegian	pronunciation	example_sentence
noun	weather	et vær	/ʋæːr/	Været er fint i dag.
noun	temperature	en temperatur	/tɛmpərɑˈtʉːr/	Temperaturen er lav.
noun	wind	en vind	/ʋɪn/	Det blåser mye.
noun	rain	en regn	/ræɪn/	Det kommer regn i kveld.
noun	snow	en snø	/snøː/	Snøen smelter.
noun	sun	ei sol	/suːl/	Sola skinner.
noun	cloud	en sky	/ʂyː/	Det er mange skyer.
noun	storm	en storm	/stɔʈm/	Det er storm i helgen.
verb	to rain	å regne, regner, regnet, har regnet	/ˈræɪnə/	Det regner nå.
verb	to snow	å snø, snør, snødde, har snødd	/snøː/	Det snør ute.
verb	to freeze	å fryse, fryser, frøs, har frosset	/ˈfryːsə/	Vannet fryser.
adjective	warm	varm	/ʋɑrm/	Det er varmt i dag.
adjective	cold	kald	/kɑl/	Det er kaldt om morgenen.
adjective	slippery	glatt	/ɡlɑt/	Veien er glatt.
adverb	outside	ute	/ˈʉːtə/	Barna leker ute.
adverb	inside	inne	/ˈɪnːə/	Vi sitter inne.
expression	It will get colder tomorrow.	Det blir kaldere i morgen.	/deːt bliːr ˈkɑldəˌrə i ˈmɔrən/	Det blir kaldere i morgen.
expression	Put on a jacket.	Ta på deg en jakke.	/tɑː poː dæɪ en ˈjɑkːə/	Ta på deg en jakke.
noun	forecast	en værmelding	/ˈʋæːrˌmɛldiŋ/	Værmeldingen sier regn.
noun	season	en årstid	/ˈoːʂtiːd/	Våren er min favorittårstid.
noun	forecast	en værmelding	/ˈʋæːrˌmɛldiŋ/	Værmeldingen sier sol.
noun	humidity	en fuktighet	/ˈfʉktɪɡheːt/	Fuktigheten er høy.
noun	temperature	en grad	/ɡrɑːd/	Det er fem grader.
noun	degree	en grad	/ɡrɑːd/	Det er ti grader.
noun	breeze	en bris	/briːs/	Det er lett bris.
noun	gust	et vindkast	/ˈʋɪnːdˌkɑst/	Et kraftig vindkast.
noun	fog	en tåke	/ˈtoːkə/	Det er tåke i dag.
noun	drizzle	en yr	/yːr/	Det kommer litt yr.
noun	shower	en regnbyge	/ˈræɪnˌbyːjə/	Det er regnbyger.
noun	hail	en hagl	/hɑɡl/	Det kommer hagl.
noun	thunder	en torden	/ˈtɔrːdən/	Jeg hører torden.
noun	lightning	en lyn	/lyːn/	Det er lyn i kveld.
noun	ice	en is	/iːs/	Det er is på veien.
noun	frost	en frost	/frɔst/	Det er frost om natten.
noun	slush	en slaps	/slɑps/	Det er slaps ute.
noun	sunshine	en solskinn	/ˈsuːlˌʂɪn/	Solskinn hele dagen.
noun	shade	en skygge	/ˈʂʏɡːə/	Vi sitter i skyggen.
noun	sunrise	en soloppgang	/ˈsuːlˌɔpˌɡɑŋ/	Soloppgang er klokka åtte.
noun	sunset	en solnedgang	/ˈsuːlˌneːdˌɡɑŋ/	Solnedgang er vakker.
noun	season	en årstid	/ˈoːʂtiːd/	Vinter er en årstid.
noun	spring	en vår	/ʋoːr/	Våren kommer snart.
noun	summer	en sommer	/ˈsɔmːər/	Sommeren er varm.
noun	autumn	en høst	/høst/	Høsten er kald.
noun	winter	en vinter	/ˈʋɪntər/	Vinteren er lang.
noun	jacket	en jakke	/ˈjɑkːə/	Ta på deg jakke.
noun	umbrella	en paraply	/pɑrɑˈplyː/	Jeg tar med paraply.
noun	raincoat	en regnjakke	/ˈræɪnˌjɑkːə/	Regnjakka er vanntett.
noun	boot	en støvel	/ˈstøːʋlər/	Støvelen er våt.
noun	glove	en hanske	/ˈhɑnskə/	Jeg trenger en hanske.
noun	hat	en lue	/lʉːə/	Ta på deg lue.
