lexical-category	english	norwegian	pronunciation	example_sentence	audio_file
noun	hotel	et hotell	/hʊˈtɛl/	Hotellet ligger nær stasjonen.	[audio](audio/forvo_no/no_hotell_206548_001.mp3)
noun	reservation	en reservasjon	/resɛrʋɑˈʂuːn/	Jeg har en reservasjon.	[audio](audio/forvo_no/no_reservasjon_1482707_001.mp3)
noun	check-in	en innsjekk	/ˈɪnːʂɛk/	Innsjekk er fra klokka tre.	
noun	check-out	en utsjekk	/ˈʉtʂɛk/	Utsjekk er klokka tolv.	
noun	reception	en resepsjon	/resɛpˈʂuːn/	Resepsjonen er åpen hele døgnet.	[audio](audio/forvo_no/no_resepsjon_2903617_001.mp3)
noun	room key	et nøkkelkort	/ˈnøːkəlˌkɔʈ/	Nøkkelkortet fungerer ikke.	
noun	passport	en pass	/pɑs/	Jeg må vise pass.	[audio](audio/forvo_no/no_pass_6993850_001.mp3)
noun	luggage	en bagasje	/bɑˈɡɑːʂə/	Bagasjen min er tung.	[audio](audio/forvo_no/no_bagasje_294439_001.mp3)
noun	single room	et enkeltrom	/ˈɛŋkəlˌtrʊm/	Jeg vil ha et enkeltrom.	[audio](audio/forvo_no/no_enkeltrom_2335123_001.mp3)
noun	double room	et dobbeltrom	/ˈdɔbːəlˌtrʊm/	Vi trenger et dobbeltrom.	[audio](audio/forvo_no/no_dobbeltrom_2850662_001.mp3)
noun	breakfast	en frokost	/ˈfruːkɔst/	Frokosten er inkludert.	[audio](audio/forvo_no/no_frokost_152550_001.mp3)
noun	elevator	en heis	/hæɪs/	Heisen er til høyre.	[audio](audio/forvo_no/no_heis_6011227_001.mp3)
noun	floor	en etasje	/ɛˈtɑːʂə/	Rommet er i femte etasje.	[audio](audio/forvo_no/no_etasje_805139_001.mp3)
verb	to stay	å bo, bor, bodde, har bodd	/buː/	Vi skal bo her i tre netter.	[audio](audio/forvo_no/no_bo_1068257_001.mp3)
verb	to book	å bestille, bestiller, bestillte, har bestillt	/beˈstɪlə/	Jeg vil bestille et rom.	[audio](audio/forvo_no/no_bestille_1068661_001.mp3)
adjective	available	ledig	/ˈleːdi/	Har dere et ledig rom?	[audio](audio/forvo_no/no_ledig_4331367_001.mp3)
