lexical-category	english	norwegian	pronunciation	example_sentence	audio_file
noun	apartment	en leilighet	/ˈlæɪlɪhɛt/	Vi bor i en leilighet.	[audio](audio/forvo_no/no_leilighet_4322062_001.mp3)
noun	room	en rom	/ruːm/	Rommet er lyst.	[audio](audio/forvo_no/no_rom_6056697_001.mp3)
noun	kitchen	et kjøkken	/ˈçœkən/	Kjøkkenet er nytt.	
noun	bathroom	et bad	/bɑː/	Badet er lite.	[audio](audio/forvo_no/no_bad_1065954_001.mp3)
noun	living room	en stue	/ˈstʉːə/	Vi sitter i stua.	[audio](audio/forvo_no/no_stue_294441_001.mp3)
noun	bedroom	en soverom	/ˈsuːvəˌruːm/	Soverommet er stille.	[audio](audio/forvo_no/no_soverom_2589953_001.mp3)
noun	rent	en leie	/ˈlæɪə/	Leien er høy.	[audio](audio/forvo_no/no_leie_4331340_001.mp3)
noun	landlord	en huseier	/ˈhʉːsˌæɪər/	Huseieren kommer i morgen.	[audio](audio/forvo_no/no_huseier_6475914_001.mp3)
noun	neighbor	en nabo	/ˈnɑːbu/	Naboen er hyggelig.	[audio](audio/forvo_no/no_nabo_1065447_001.mp3)
verb	to move	å flytte, flytter, flyttet, har flyttet	/ˈflʏtə/	Vi skal flytte snart.	[audio](audio/forvo_no/no_flytte_1066574_001.mp3)
verb	to clean	å rengjøre, rengjør, rengjorde, har rengjort	/ˈreŋˌjøːrə/	Jeg må rengjøre kjøkkenet.	[audio](audio/forvo_no/no_rengj_re_4340458_001.mp3)
verb	to repair	å reparere, reparerer, reparerte, har reparert	/repaˈreːrə/	Han kan reparere døra.	[audio](audio/forvo_no/no_reparere_2355933_001.mp3)
adjective	noisy	bråkete	/ˈbroːkətə/	Det er bråkete om kvelden.	
adjective	quiet	stille	/ˈstɪlə/	Det er stille om natta.	[audio](audio/forvo_no/no_stille_767362_001.mp3)
adverb	upstairs	oppe	/ˈɔpːə/	Barna sover oppe.	
adverb	downstairs	nede	/ˈneːdə/	Kjøkkenet er nede.	[audio](audio/forvo_no/no_nede_3802694_001.mp3)
noun	key	en nøkkel	/ˈnøːkəl/	Jeg har mistet nøkkelen.	
noun	furniture	en møbler	/ˈmøːblər/	Vi kjøper nye møbler.	[audio](audio/forvo_no/no_m_bler_2331010_001.mp3)
expression	There is a leak	Det er lekkasje	/deːt ær leˈkɑːʂə/	Det er lekkasje på badet.	
noun	electricity	en strøm	/strøm/	Strømmen gikk i går.	[audio](audio/forvo_no/no_str_m_214836_001.mp3)
noun	hallway	en gang	/ɡɑŋ/	Gangen er smal.	[audio](audio/forvo_no/no_gang_1060324_001.mp3)
noun	balcony	en balkong	/bɑlˈkɔŋ/	Balkongen er stor.	[audio](audio/forvo_no/no_balkong_582484_001.mp3)
noun	basement	en kjeller	/ˈçɛlːər/	Vaskerommet er i kjelleren.	[audio](audio/forvo_no/no_kjeller_353335_001.mp3)
noun	attic	et loft	/lɔft/	Vi lagrer ting på loftet.	[audio](audio/forvo_no/no_loft_5030049_001.mp3)
noun	staircase	en trapp	/trɑp/	Trappa er bratt.	[audio](audio/forvo_no/no_trapp_1034462_001.mp3)
noun	door	ei dør	/døːr/	Lukk døra.	[audio](audio/forvo_no/no_d_r_597972_001.mp3)
noun	window	et vindu	/ˈʋɪnːdʉ/	Vinduet er åpent.	[audio](audio/forvo_no/no_vindu_1063781_001.mp3)
noun	floor	et gulv	/ɡʉlʋ/	Gulvet er skittent.	[audio](audio/forvo_no/no_gulv_3522492_001.mp3)
noun	wall	en vegg	/ʋɛɡ/	Veggen er hvit.	[audio](audio/forvo_no/no_vegg_1068279_001.mp3)
noun	ceiling	et tak	/tɑːk/	Taket er høyt.	[audio](audio/forvo_no/no_tak_805081_001.mp3)
noun	roof	et tak	/tɑːk/	Taket må repareres.	[audio](audio/forvo_no/no_tak_805081_001.mp3)
noun	lamp	en lampe	/ˈlɑmpə/	Lampen virker ikke.	[audio](audio/forvo_no/no_Lampe_4331394_001.mp3)
noun	light bulb	en lyspære	/ˈlyːsˌpæːrə/	Jeg må bytte lyspære.	[audio](audio/forvo_no/no_lysp_re_4324976_001.mp3)
noun	socket	en kontakt	/kɔnˈtɑkt/	Kontakten er løs.	[audio](audio/forvo_no/no_kontakt_825806_001.mp3)
noun	switch	en bryter	/ˈbrʏtər/	Bryteren er ved døra.	[audio](audio/forvo_no/no_bryter_644293_001.mp3)
noun	heater	en ovn	/ɔʋn/	Ovnen er varm.	[audio](audio/forvo_no/no_ovn_1167226_001.mp3)
