lexical-category	english	norwegian	pronunciation	example_sentence
noun	school	en skole	/ˈskuːlə/	Jeg går på skole i nærheten.
noun	teacher	en lærer	/ˈlɛːrər/	Læreren forklarer oppgaven.
noun	student	en elev	/eˈleːv/	Hun er en flink elev.
noun	class (lesson)	en time	/ˈtiːmə/	Vi har norsk time nå.
noun	class (group)	en klasse	/ˈklɑsə/	Klassen starter klokka åtte.
noun	homework	en lekse	/ˈlɛksə/	Jeg gjør en lekse etter middag.
noun	assignment	en oppgave	/ˈɔpːɡɑːvə/	Dette er en vanskelig oppgave.
noun	textbook	ei lærebok	/ˈlɛːrəbuːk/	Jeg leser i læreboka.
noun	notebook	ei notatbok	/nʊˈtɑːtbuːk/	Hun skriver i notatboka.
noun	pen	en penn	/pɛn/	Har du en ekstra penn?
noun	exam	en eksamen	/ɛkˈsɑːmən/	Vi har eksamen på fredag.
verb	to learn	å lære, lærer, lærte, har lært	/ˈlɛːrə/	Jeg lærer norsk hver dag.
verb	to study	å studere, studerer, studerte, har studert	/stʉˈdeːrə/	Han studerer på universitetet.
verb	to understand	å forstå, forstår, forstod, har forstått	/fɔʂˈtoː/	Jeg forstår nesten alt.
adjective	difficult	vanskelig	/ˈvɑnʃəli/	Dette er litt vanskelig.
adjective	easy	lett	/lɛt/	Oppgaven er lett.
adverb	carefully	nøye	/ˈnøːjə/	Les teksten nøye.
expression	Can you repeat?	Kan du gjenta?	/kɑn dʉ jɛnˈtɑː/	Kan du gjenta spørsmålet?
noun	break (recess)	en pause	/ˈpæʉsə/	Vi har pause klokka ti.
noun	grade	en karakter	/kɑrɑkˈteːr/	Hun fikk god karakter.
noun	classroom	en klasserom	/ˈklɑsəˌrʊm/	Klasserommet er lyst.
noun	desk	en pult	/pʉlt/	Jeg sitter ved pulten.
noun	chair	en stol	/stuːl/	Stolen er gammel.
noun	board	en tavle	/ˈtɑːʋlə/	Læreren skriver på tavla.
noun	marker	en whiteboardtusj	/ˈʋaɪtbɔːdˌtʉʂ/	Jeg trenger en tusj.
noun	eraser	et viskelær	/ˈʋɪskəˌlɛːr/	Viskelæret ligger på pulten.
noun	ruler	en linjal	/ˈlɪnːjɑːl/	Han bruker linjal.
noun	pencil	en blyant	/ˈblyːɑnt/	Jeg skriver med blyant.
noun	highlighter	en markeringstusj	/mɑʈˈkeːrɪŋsˌtʉʂ/	Jeg bruker markeringstusj.
noun	folder	en mappe	/ˈmɑpːə/	Legg arket i mappa.
noun	paper	et ark	/ɑʈ/	Jeg trenger et ark.
noun	worksheet	et arbeidsark	/ˈɑːrbæɪdsˌɑʈ/	Arbeidsarket er delt ut.
noun	whiteboard	en whiteboard	/ˈʋaɪtbɔːd/	Vi bruker whiteboard.
noun	projector	en prosjektor	/prʊʂɛkˈtuːr/	Prosjektoren virker ikke.
noun	presentation	en presentasjon	/prɛsɛntɑˈʂuːn/	Jeg holder en presentasjon.
noun	group work	en gruppearbeid	/ˈɡrʉpəˌɑːrbæɪd/	Vi har gruppearbeid i dag.
noun	pair work	en pararbeid	/ˈpɑːrˌɑːrbæɪd/	Vi jobber i pararbeid.
noun	subject	en fag	/fɑːɡ/	Norsk er mitt favorittfag.
noun	math class	en mattetime	/ˈmɑtːəˌtiːmə/	Vi har mattetime i dag.
noun	Norwegian class	en norsktime	/ˈnɔʂkˌtiːmə/	Norsktimen er vanskelig.
noun	English class	en engelsktime	/ˈɛŋəlskˌtiːmə/	Engelsktimen er nyttig.
